"交易大类","PRODUCT_CODE","标的类型","样例交易ID","核心输入字段","关键市场数据","说明"
"AUTO_CALL","COMM_AUTO_CALL","COMM","COMM_AC_20241231_001","BUY_OR_SELL|CURRENCY_CODE|NOTIONAL|BARRIER|BARRIER_DIRECTION|START_DATE|SETTLE_DATE|OBS_DATE|PAYOFF_RATE|PREMIUM_RATE|DISCOUNT_CURVE|VOLATILITY_SURFACE|PRICE_CURVE|PATH_NB","DISCOUNT_CURVE=IR_CURVE_CNY|VOLATILITY_SURFACE=COMM_VOL_A99|PRICE_CURVE=COMM_SPOT_A99|FX_SPOT=FX_SPOT_USD_BASE(模板)","来自 option_8_categories_comm_ir_eq_20260303.json 测试样例"
"AUTO_CALL","EQ_AUTO_CALL","EQ","EQ_AC_20241231_001","BUY_OR_SELL|CURRENCY_CODE|NOTIONAL|BARRIER|BARRIER_DIRECTION|START_DATE|SETTLE_DATE|OBS_DATE|PAYOFF_RATE|PREMIUM_RATE|DISCOUNT_CURVE|VOLATILITY_SURFACE|PRICE_CURVE|PATH_NB","DISCOUNT_CURVE=IR_CURVE_CNY|VOLATILITY_SURFACE=EQ_VOL_CN_A|PRICE_CURVE=EQ_SPOT_CN_A|FX_SPOT=FX_SPOT_USD_BASE(模板)","来自 option_8_categories_comm_ir_eq_20260303.json 测试样例"
"AUTO_CALL","FX_AUTO_CALL","FX","FX_AC_8CAT_001","BUY_OR_SELL|CURRENCY_CODE|NOTIONAL|BARRIER|BARRIER_DIRECTION|START_DATE|SETTLE_DATE|OBS_DATE|PAYOFF_RATE|PREMIUM_RATE|DISCOUNT_CURVE|VOLATILITY_SURFACE|BASE_CURRENCY_CODE|UNDERLYING_CURRENCY_CODE|BASE_DISCOUNT_CURVE|UNDERLYING_DISCOUNT_CURVE|PATH_NB","DISCOUNT_CURVE=IR_CURVE_EUR|VOLATILITY_SURFACE=FX_VOL_EUR_USD|BASE_DISCOUNT_CURVE=IR_CURVE_USD|UNDERLYING_DISCOUNT_CURVE=IR_CURVE_EUR|FX_SPOT=FX_SPOT_USD_BASE(模板)","来自 option_8_categories_struct_dig_barrier_20260303.json 测试样例"
"BARRIER","COMM_BARRIER","COMM","COMM_BAR_CALL_20241231_001","BUY_OR_SELL|TRADE_DATE|OPTION_TYPE|CONTRACT_SIZE|MATURITY_DATE|SETTLE_DATE|BASE_PAYOFF|PAYOFF_LOWER|KNOCK_OUT_FLAG|TOUCH_BEFORE_FLAG|UPPER_BARRIER|VOLATILITY_SURFACE|CURRENCY_CODE|DISCOUNT_CURVE|PRICE_CURVE|INSTRUMENT_CURRENCY","VOLATILITY_SURFACE=COMM_VOL_A99|DISCOUNT_CURVE=IR_CURVE_CNY|PRICE_CURVE=COMM_SPOT_A99|FX_SPOT=FX_SPOT_USD_BASE(模板)","来自 option_8_categories_comm_ir_eq_20260303.json 测试样例"
"BARRIER","EQ_BARRIER","EQ","EQ_BAR_CALL_20241231_001","BUY_OR_SELL|TRADE_DATE|OPTION_TYPE|CONTRACT_SIZE|MATURITY_DATE|SETTLE_DATE|BASE_PAYOFF|PAYOFF_LOWER|KNOCK_OUT_FLAG|TOUCH_BEFORE_FLAG|UPPER_BARRIER|VOLATILITY_SURFACE|CURRENCY_CODE|DISCOUNT_CURVE|PRICE_CURVE|INSTRUMENT_CURRENCY","VOLATILITY_SURFACE=EQ_VOL_CN_A|DISCOUNT_CURVE=IR_CURVE_CNY|PRICE_CURVE=EQ_SPOT_CN_A|FX_SPOT=FX_SPOT_USD_BASE(模板)","来自 option_8_categories_comm_ir_eq_20260303.json 测试样例"
"BARRIER","FX_BARRIER","FX","FX_BAR_8CAT_001","BUY_OR_SELL|TRADE_DATE|OPTION_TYPE|CONTRACT_SIZE|MATURITY_DATE|SETTLE_DATE|BASE_PAYOFF|PAYOFF_LOWER|KNOCK_OUT_FLAG|TOUCH_BEFORE_FLAG|UPPER_BARRIER|VOLATILITY_SURFACE|SETTLE_TYPE|UNDERLYING_CURRENCY_CODE|BASE_CURRENCY_CODE|SETTLE_CURRENCY_CODE|UNDERLYING_DISCOUNT_CURVE|BASE_DISCOUNT_CURVE|SETTLE_DISCOUNT_CURVE|INSTRUMENT_CURRENCY","VOLATILITY_SURFACE=FX_VOL_EUR_USD|UNDERLYING_DISCOUNT_CURVE=IR_CURVE_EUR|BASE_DISCOUNT_CURVE=IR_CURVE_USD|SETTLE_DISCOUNT_CURVE=IR_CURVE_USD|FX_SPOT=FX_SPOT_USD_BASE(模板)","来自 option_8_categories_struct_dig_barrier_20260303.json 测试样例"
"BARRIER","IR_BARRIER","IR","IR_BAR_CALL_20241231_001","BUY_OR_SELL|TRADE_DATE|OPTION_TYPE|CONTRACT_SIZE|MATURITY_DATE|SETTLE_DATE|BASE_PAYOFF|PAYOFF_LOWER|KNOCK_OUT_FLAG|TOUCH_BEFORE_FLAG|UPPER_BARRIER|VOLATILITY_SURFACE|CURRENCY_CODE|DISCOUNT_CURVE|PRICE_CURVE|FIXING_ID|RATE_TYPE|TERM_CODE|TERM_FREQ|INSTRUMENT_CURRENCY","VOLATILITY_SURFACE=IR_VOL_CNY|DISCOUNT_CURVE=IR_CURVE_CNY|PRICE_CURVE=IR_CURVE_CNY|FIXING_ID=IR_FIXING_CNY_3M|FX_SPOT=FX_SPOT_USD_BASE(模板)","来自 option_8_categories_comm_ir_eq_20260303.json 测试样例"
"DIGITAL","COMM_DIGITAL","COMM","COMM_DIG_CALL_20241231_001","BUY_OR_SELL|TRADE_DATE|CALL_OR_PUT|CONTRACT_SIZE|STRIKE_PRICE|MATURITY_DATE|SETTLE_DATE|BASE_PAYOFF|PAYOFF_LOWER|VOLATILITY_SURFACE|CURRENCY_CODE|DISCOUNT_CURVE|SETTLE_DISCOUNT_CURVE|PRICE_CURVE|INSTRUMENT_CURRENCY","VOLATILITY_SURFACE=COMM_VOL_A99|DISCOUNT_CURVE=IR_CURVE_CNY|SETTLE_DISCOUNT_CURVE=IR_CURVE_CNY|PRICE_CURVE=COMM_SPOT_A99|FX_SPOT=FX_SPOT_USD_BASE(模板)","来自 option_8_categories_comm_ir_eq_20260303.json 测试样例"
"DIGITAL","EQ_DIGITAL","EQ","EQ_DIG_CALL_20241231_001","BUY_OR_SELL|TRADE_DATE|CALL_OR_PUT|CONTRACT_SIZE|STRIKE_PRICE|MATURITY_DATE|SETTLE_DATE|BASE_PAYOFF|PAYOFF_LOWER|VOLATILITY_SURFACE|CURRENCY_CODE|DISCOUNT_CURVE|SETTLE_DISCOUNT_CURVE|PRICE_CURVE|INSTRUMENT_CURRENCY","VOLATILITY_SURFACE=EQ_VOL_CN_A|DISCOUNT_CURVE=IR_CURVE_CNY|SETTLE_DISCOUNT_CURVE=IR_CURVE_CNY|PRICE_CURVE=EQ_SPOT_CN_A|FX_SPOT=FX_SPOT_USD_BASE(模板)","来自 option_8_categories_comm_ir_eq_20260303.json 测试样例"
"DIGITAL","FX_DIGITAL","FX","FX_DIG_8CAT_001","BUY_OR_SELL|TRADE_DATE|CALL_OR_PUT|CONTRACT_SIZE|STRIKE_PRICE|MATURITY_DATE|SETTLE_DATE|BASE_PAYOFF|PAYOFF_LOWER|VOLATILITY_SURFACE|SETTLE_TYPE|UNDERLYING_CURRENCY_CODE|BASE_CURRENCY_CODE|SETTLE_CURRENCY_CODE|UNDERLYING_DISCOUNT_CURVE|BASE_DISCOUNT_CURVE|SETTLE_DISCOUNT_CURVE|INSTRUMENT_CURRENCY","VOLATILITY_SURFACE=FX_VOL_EUR_USD|UNDERLYING_DISCOUNT_CURVE=IR_CURVE_EUR|BASE_DISCOUNT_CURVE=IR_CURVE_USD|SETTLE_DISCOUNT_CURVE=IR_CURVE_USD|FX_SPOT=FX_SPOT_USD_BASE(模板)","来自 option_8_categories_struct_dig_barrier_20260303.json 测试样例"
