"风险小类","产品大类","PRODUCT_CODE","样例交易ID","小类专属字段","参与判断字段","关键市场数据类型","说明"
"COMM","AUTO_CALL","COMM_AUTO_CALL","COMM_AC_20241231_001","PRICE_CURVE","PRICE_CURVE远期路径|BARRIER","COMM_SPOT+COMM_VOL+IR_SPOT","商品标的由PRICE_CURVE给出，波动率来自COMM_VOL。"
"EQ","AUTO_CALL","EQ_AUTO_CALL","EQ_AC_20241231_001","PRICE_CURVE","PRICE_CURVE现价路径|BARRIER","EQ_SPOT+EQ_VOL+IR_SPOT","权益标的由PRICE_CURVE给出，波动率来自EQ_VOL。"
"FX","AUTO_CALL","FX_AUTO_CALL","FX_AC_8CAT_001","BASE_CURRENCY_CODE|UNDERLYING_CURRENCY_CODE|BASE_DISCOUNT_CURVE|UNDERLYING_DISCOUNT_CURVE","BASE/UNDERLYING货币对|BARRIER_DIRECTION","IR_SPOT(两条币种曲线)+FX_VOL+FX_SPOT","外汇方向由基础币/标的币组合决定，rd/rf分别取基础/标的贴现曲线。"
"COMM","BARRIER","COMM_BARRIER","COMM_BAR_CALL_20241231_001","PRICE_CURVE|DISCOUNT_CURVE|CURRENCY_CODE","OPTION_TYPE|KNOCK_OUT_FLAG|TOUCH_BEFORE_FLAG|Barrier","COMM_SPOT+COMM_VOL+IR_SPOT","COMM障碍期权与EQ类似，曲线类型不同。"
"EQ","BARRIER","EQ_BARRIER","EQ_BAR_CALL_20241231_001","PRICE_CURVE|DISCOUNT_CURVE|CURRENCY_CODE","OPTION_TYPE|KNOCK_OUT_FLAG|TOUCH_BEFORE_FLAG|Barrier","EQ_SPOT+EQ_VOL+IR_SPOT","EQ障碍期权Call/Put只需单边障碍，Double需双边。"
"FX","BARRIER","FX_BARRIER","FX_BAR_8CAT_001","UNDERLYING_CURRENCY_CODE|BASE_CURRENCY_CODE|UNDERLYING_DISCOUNT_CURVE|BASE_DISCOUNT_CURVE|SETTLE_DISCOUNT_CURVE|SETTLE_CURRENCY_CODE","OPTION_TYPE|KNOCK_OUT_FLAG|TOUCH_BEFORE_FLAG|Barrier","FX_SPOT+FX_VOL+IR_SPOT","FX障碍期权支持Double障碍与敲出/已触碰状态。"
"IR","BARRIER","IR_BARRIER","IR_BAR_CALL_20241231_001","PRICE_CURVE|DISCOUNT_CURVE|FIXING_ID|RATE_TYPE|TERM_CODE|TERM_FREQ","OPTION_TYPE|KNOCK_OUT_FLAG|TOUCH_BEFORE_FLAG|Barrier|FIXING_ID","IR_SPOT+IR_VOL+FIXING","IR障碍期权建议显式提供期限与定盘字段。"
"COMM","DIGITAL","COMM_DIGITAL","COMM_DIG_CALL_20241231_001","PRICE_CURVE|DISCOUNT_CURVE|SETTLE_DISCOUNT_CURVE|CURRENCY_CODE","CALL_OR_PUT|STRIKE_PRICE","COMM_SPOT+COMM_VOL+IR_SPOT","商品数字期权行权价与支付下限共同决定价值。"
"EQ","DIGITAL","EQ_DIGITAL","EQ_DIG_CALL_20241231_001","PRICE_CURVE|DISCOUNT_CURVE|SETTLE_DISCOUNT_CURVE|CURRENCY_CODE","CALL_OR_PUT|STRIKE_PRICE","EQ_SPOT+EQ_VOL+IR_SPOT","权益数字期权通常以CNY计价。"
"FX","DIGITAL","FX_DIGITAL","FX_DIG_8CAT_001","UNDERLYING_CURRENCY_CODE|BASE_CURRENCY_CODE|UNDERLYING_DISCOUNT_CURVE|BASE_DISCOUNT_CURVE|SETTLE_DISCOUNT_CURVE|SETTLE_CURRENCY_CODE","CALL_OR_PUT|STRIKE_PRICE","FX_SPOT+FX_VOL+IR_SPOT","FX数字期权同时依赖三条贴现/结算曲线。"
"IR","DIGITAL","IR_DIGITAL","IR_DIG_CALL_20241231_001","PRICE_CURVE|DISCOUNT_CURVE|FIXING_ID|RATE_TYPE|TERM_CODE|TERM_FREQ","CALL_OR_PUT|STRIKE_PRICE|FIXING_ID","IR_SPOT+IR_VOL+FIXING","IR数字期权对Fixing与期限字段敏感。"
"COMM","RANGE_ACCURE","COMM_RANGE_ACCURE","COMM_RA_20241231_001","PRICE_CURVE|UNDERLYING_CODE|FRTB_COMM_BUCKET|FRTB_COMM_ASSET|FRTB_COMM_LOCATION","RANGE_DIRECTION|OBS_DATE|Barrier","COMM_SPOT+COMM_VOL+IR_SPOT+FIXING","商品风险因子映射常由FRTB_COMM_*字段确定。"
"EQ","RANGE_ACCURE","EQ_RANGE_ACCURE","EQ_RA_20241231_001","PRICE_CURVE","RANGE_DIRECTION|OBS_DATE|Barrier","EQ_SPOT+EQ_VOL+IR_SPOT+FIXING","EQ_RANGE_ACCURE归类为EQ风险小类。"
"FX","RANGE_ACCURE","FX_RANGE_ACCURE","FX_RA_8CAT_001","UNDERLYING_ID/UNDERLYING_CURRENCY_CODE/BASE_CURRENCY_CODE|UNDERLYING_DISCOUNT_CURVE|BASE_DISCOUNT_CURVE","RANGE_DIRECTION|OBS_DATE|Barrier","FX_SPOT+FX_VOL+IR_SPOT+FIXING","逐观察日判断是否落区间，in/out决定计息口径。"
"IR","RANGE_ACCURE","IR_RANGE_ACCURE","IR_RA_20241231_001","PRICE_CURVE|RATE_TYPE|TERM_CODE|TERM_FREQ","RANGE_DIRECTION|OBS_DATE|Barrier|FIXING_ID","IR_SPOT+IR_VOL+FIXING","IR类建议显式给RATE_TYPE/TERM_CODE/TERM_FREQ。"
