产品类型,资产大类,字段,字段类型,字段含义,值域,特殊规则
BOND,利率,ABS_FLAG,布尔,绝对值标志,,
BOND,利率,ADJUST_FLAG,布尔,调整标志,,
BOND,利率,AMORTIZATION_SCHEDULE,List<StructuredCashflow.AmortizationEntry>,摊销计划,,"JSON数组[{date,principal,rate}]"
BOND,利率,AMOUNT,浮点数,,,
BOND,利率,BOND_ID,字符串,债券ID,,
BOND,利率,DIRTY_PRICE,浮点数,脏价,, 
BOND,利率,CALLPUT_DATE,List<CallPutDate>,,,
BOND,利率,CASHFLOW,浮点数,,,
BOND,利率,CASHFLOW_TYPE,字符串,,,
BOND,利率,COUPON_PRORATED,布尔,票息按比例,,
BOND,利率,CREDIT_SPREAD_CURVE,字符串,信用点差曲线,,引用信用点差曲线key
BOND,利率,CURRENCY_CODE,字符串,货币代码,,
BOND,利率,DATA_DATE,日期,数据日期,,
BOND,利率,DATE,日期,,,
BOND,利率,DAY_COUNT_BASIS,字符串,日计数基准,"actual/365,actual/360,30/360",
BOND,利率,DISCOUNT_CURVE,字符串,折现曲线,,引用市场数据折现曲线key
BOND,利率,DISCOUNT_FACTOR,浮点数,,,
BOND,利率,DRC_JTD0,字符串,,,
BOND,利率,DRC_LGD,浮点数,,,
BOND,利率,FIXING_CURVE,字符串,定盘曲线,,引用市场数据定盘曲线key
BOND,利率,FIXING_FREQ,字符串,定盘频率,,
BOND,利率,FIXING_ID,字符串,定盘ID,,
BOND,利率,FLOATING_INDEX_FREQ,字符串,浮动指数频率,,
BOND,利率,FLT_DAY_COUNT_BASIS,字符串,,,
BOND,利率,FRTB_CSR_BUCKET,字符串,,,
BOND,利率,FRTB_NSEC_DRC_BUCKET,字符串,,,
BOND,利率,FRTB_SECNCTP_DRC_RW,浮点数,,,
BOND,利率,FRTB_SECNCTP_DRC_TYPE,字符串,,,
BOND,利率,FWDEND_DATE,日期,,,
BOND,利率,FWDSTART_DATE,日期,,,
BOND,利率,INCLUDE_TODAY_CASHFLOW,布尔,包含当日现金流,,
BOND,利率,INSTRUMENT_ID,字符串,交易编号,,
BOND,利率,INTEREST_RATE,浮点数,利率,,
BOND,利率,INTEREST_STUB,字符串,利息存根,,
BOND,利率,INTEREST_TYPE,字符串,利率类型,Fixed/Float,
BOND,利率,ISSUER,字符串,发行人,,
BOND,利率,ISSUER_RATING,字符串,,,
BOND,利率,ISSUE_DATE,日期,发行日,,yyyyMMdd
BOND,利率,LAST_RESET_RATE,浮点数,上期重置利率,,
BOND,利率,MATURITY_DATE,日期,到期日,,yyyyMMdd
BOND,利率,NOTIONAL,浮点数,名义金额,,非负有限数
BOND,利率,NOTIONAL_FLAG,字符串,名义标志,,
BOND,利率,OPTION_BOND_FLAG,布尔,含权债标志,true/false,
BOND,利率,PAYMENT_DATE,日期,,,
BOND,利率,PAYMENT_TIMING,字符串,支付时点,,
BOND,利率,PAYMENT_TYPE,字符串,,,
BOND,利率,PAY_FREQ,字符串,付息频率,M/Q/S/A,
BOND,利率,POSITION_TRADE,浮点数,,,
BOND,利率,PREPAYMENT_DATE,日期,,,
BOND,利率,PRODUCT_CODE,字符串,产品代码,,
BOND,利率,RATE,浮点数,,,
BOND,利率,RESET_DAYOFF,整数,重置休息日,,
BOND,利率,RESET_FREQ,字符串,重置频率,M/Q/S/A,
BOND,利率,RESET_RULE,字符串,重置规则,,
BOND,利率,SETTLE_CALENDAR,字符串,结算日历,,
BOND,利率,SETTLE_DAYOFF,整数,结算休息日,,
BOND,利率,SETTLE_RULE,字符串,结算规则,,
BOND,利率,SPREAD,浮点数,点差,,
BOND,利率,THEO_PAYMENT_DATE,日期,,,
BOND,利率,THEO_PRE_PAYMENT_DATE,日期,,,
BOND,利率,TIME_FACTOR,浮点数,,,
BOND,利率,TYPE,字符串,,,
BOND_FUTURE,利率,CONVERT_FACTORS,JSONArray,,,
BOND_FUTURE,利率,CURRENCY_CODE,字符串,货币代码,,
BOND_FUTURE,利率,DELIVERY_TYPE,字符串,,,
BOND_FUTURE,利率,DISCOUNT_CURVE,字符串,折现曲线,,引用市场数据折现曲线key
BOND_FUTURE,利率,FUTURE_ID,字符串,,,
BOND_FUTURE,利率,FUTURE_PRICE,浮点数,,,
BOND_FUTURE,利率,INSTRUMENT_ID,字符串,交易编号,,
BOND_FUTURE,利率,MATURITY_DATE,日期,到期日,,yyyyMMdd
BOND_FUTURE,利率,NET_BASIS,浮点数,,,
BOND_FUTURE,利率,PRODUCT_CODE,字符串,产品代码,,
BOND_FUTURE,利率,UNDERLYING_BOND_ID,字符串,,,
BOND_FUTURE,利率,UNDERLYING_BOND_VALUE,浮点数,,,
BOND_FUTURE,利率,UNDERLYING_POSITION,浮点数,,,
CAPFLOOR,利率,ADJUST_FLAG,布尔,调整标志,,
CAPFLOOR,利率,BUY_OR_SELL,字符串,买卖方向,B/S,
CAPFLOOR,利率,CAP_OR_FLOOR,字符串,,,
CAPFLOOR,利率,COUPON_PRORATED,布尔,票息按比例,,
CAPFLOOR,利率,CURRENCY_CODE,字符串,货币代码,,
CAPFLOOR,利率,DATA_DATE,日期,数据日期,,
CAPFLOOR,利率,DAY_COUNT_BASIS,字符串,日计数基准,"actual/365,actual/360,30/360",
CAPFLOOR,利率,DISCOUNT_CURVE,字符串,折现曲线,,引用市场数据折现曲线key
CAPFLOOR,利率,EXPECTED_FORWARD_RATE,浮点数,,,
CAPFLOOR,利率,FIXING_CALENDAR,字符串,,,
CAPFLOOR,利率,FIXING_CURVE,字符串,定盘曲线,,引用市场数据定盘曲线key
CAPFLOOR,利率,FIXING_DAYOFF,整数,,,
CAPFLOOR,利率,FIXING_FREQ,字符串,定盘频率,,
