产品类型,输入字段,字段名称,字段类型,值域,特殊格式说明
BOND,ABS_FLAG,ABS标志,boolean,true/false,
BOND,AMORTIZATION_SCHEDULE,摊还计划,List<StructuredCashflow.AmortizationEntry>,,子JSON字符串或结构化计划
BOND,DIRTY_PRICE,净价脏价标识,Double,,
BOND,BOND_ID,债券编号,String,,
BOND,CALLPUT_DATES,赎回回售日期集合,List<CallPutDate>,,日期对象列表，日期格式 yyyyMMdd
BOND,CREDIT_SPREAD_CURVE,信用利差曲线,String,,市场数据键
BOND,CURRENCY_CODE,产品计价币种,String,,
BOND,DATA_DATE,数据日期,LocalDate,,日期格式 yyyyMMdd
BOND,DAY_COUNT_BASIS,计息日计数规则,String,ACT/360、ACT/365、30/360 等,
BOND,DISCOUNT_CURVE,贴现曲线,String,,市场数据键
BOND,DRC_FLAG,DRC_FLAG,String,,
BOND,DRC_LGD,DRC_LGD,Double,,
BOND,FIXING_CURVE,定盘曲线,String,,市场数据键
BOND,FIXING_FREQ,定盘频率,String,1D/1W/1M/3M/6M/1Y...,
BOND,FIXING_ID,定盘标识,String,,
BOND,FRTB_CSR_BUCKET,FRTB信用桶,String,,
BOND,FRTB_NSEC_DRC_BUCKET,非证券化DRC桶,String,,
BOND,FRTB_SECNCTP_DRC_RW,证券化DRC权重,Double,,
BOND,FRTB_SECNCTP_DRC_TYPE,证券化DRC类型,String,,
BOND,INSTRUMENT_ID,交易编号,String,,
BOND,INTEREST_RATE,票息/固定利率,Double,,
BOND,INTEREST_STUB,INTEREST_STUB,String,,
BOND,INTEREST_TYPE,利率类型,String,Fixed/Floating,
BOND,ISSUE_DATE,发行日期,LocalDate,,日期格式 yyyyMMdd
BOND,ISSUER,发行人,String,,
BOND,ISSUER_RATING,发行人评级,String,,
BOND,LAST_RESET_RATE,LAST_RESET_RATE,Double,,
BOND,MATURITY_DATE,到期日期,LocalDate,,日期格式 yyyyMMdd
BOND,NOTIONAL,名义金额,Double,>=0,
BOND,PAY_FREQ,付息频率,String,1D/1W/1M/3M/6M/1Y...,
BOND,POSITION_TRADE,持仓方向,Double,,
BOND,PRODUCT_CODE,产品代码,String,,
BOND,RESET_DAYOFF,重置节假日调整,Integer,,
BOND,RESET_FREQ,重置频率,String,1D/1W/1M/3M/6M/1Y...,
BOND,RESET_RULE,重置规则,String,,
BOND,SETTLE_CALENDAR,结算日历,String,,日历代码
BOND,SETTLE_DAYOFF,结算节假日调整,Integer,,
BOND,SETTLE_RULE,结算规则,String,,
BOND,SPREAD,利差,Double,,
BOND_FUTURE,ABS_FLAG,ABS标志,boolean,true/false,
BOND_FUTURE,CONVERT_FACTORS,转换因子,JSONArray,,多值字符串或JSON数组
BOND_FUTURE,CURRENCY_CODE,产品计价币种,String,,
BOND_FUTURE,DISCOUNT_CURVE,贴现曲线,String,,市场数据键
BOND_FUTURE,FRTB_CSR_BUCKET,FRTB信用桶,String,,
BOND_FUTURE,FUTURE_PRICE,期货价格,Double,,
BOND_FUTURE,INSTRUMENT_ID,交易编号,String,,
BOND_FUTURE,ISSUER,发行人,String,,
BOND_FUTURE,MATURITY_DATE,到期日期,LocalDate,,日期格式 yyyyMMdd
BOND_FUTURE,PRODUCT_CODE,产品代码,String,,
BOND_FUTURE,UNDERLYING_POSITION,标的持仓,Double,,
CAPFLOOR,BUY_OR_SELL,买卖方向,String,B/S,
CAPFLOOR,CAP_OR_FLOOR,上限下限类型,String,Cap/Floor,
CAPFLOOR,CURRENCY_CODE,产品计价币种,String,,
CAPFLOOR,DATA_DATE,数据日期,LocalDate,,日期格式 yyyyMMdd
CAPFLOOR,DAY_COUNT_BASIS,计息日计数规则,String,ACT/360、ACT/365、30/360 等,
CAPFLOOR,DISCOUNT_CURVE,贴现曲线,String,,市场数据键
CAPFLOOR,FIXING_CALENDAR,定盘日历,String,,日历代码
CAPFLOOR,FIXING_CURVE,定盘曲线,String,,市场数据键
CAPFLOOR,FIXING_DAYOFF,定盘节假日调整,Integer,,
CAPFLOOR,FIXING_FREQ,定盘频率,String,1D/1W/1M/3M/6M/1Y...,
CAPFLOOR,FIXING_ID,定盘标识,String,,
CAPFLOOR,FIXING_RULE,定盘规则,String,,
CAPFLOOR,INSTRUMENT_ID,交易编号,String,,
CAPFLOOR,MATURITY_DATE,到期日期,LocalDate,,日期格式 yyyyMMdd
CAPFLOOR,NOTIONAL,名义金额,Double,>=0,
CAPFLOOR,PAY_FREQ,付息频率,String,1D/1W/1M/3M/6M/1Y...,
CAPFLOOR,PRODUCT_CODE,产品代码,String,,
CAPFLOOR,RESET_FREQ,重置频率,String,1D/1W/1M/3M/6M/1Y...,
CAPFLOOR,SETTLE_CALENDAR,结算日历,String,,日历代码
CAPFLOOR,SETTLE_DAYOFF,结算节假日调整,Integer,,
CAPFLOOR,SETTLE_RULE,结算规则,String,,
CAPFLOOR,START_DATE,起始日期,LocalDate,,日期格式 yyyyMMdd
CAPFLOOR,STRIKE_RATE,执行利率,Double,,
CAPFLOOR,VALUATION_MODEL,估值模型,String,BACHELIER/BLACK76/BLACK/LOGNORMAL,
CAPFLOOR,VOLATILITY_SURFACE,波动率曲面,String,,
CDS,BUY_OR_SELL,买卖方向,String,B/S,
CDS,CURRENCY_CODE,产品计价币种,String,,
CDS,DAY_COUNT_BASIS,计息日计数规则,String,ACT/360、ACT/365、30/360 等,
CDS,DISCOUNT_CURVE,贴现曲线,String,,市场数据键
CDS,FIXED_PREMIUM,固定保费,String,,子JSON字符串/数组
CDS,FIXED_RATE,固定端利率,Double,,
