product_group,product_type,base_class,shared_field_summary,product_field_summary,special_attention,notes
base,BASE::BarOptBase,,"instrumentId:String(交易编号)[非空]; productCode:String(产品类型)[非空]; optionType:String(期权类型)[枚举]; tradeDate:LocalDate(交易日)[yyyyMMdd]; buyOrSell:String(买卖方向)[B/S]; contractSize:Double(合约乘数)[默认1,>0]; maturityDate:LocalDate(到期日)[yyyyMMdd]; settleDate:LocalDate(结算日)[yyyyMMdd]; basePayoff:Double(基础收益)[>=0]; payoffLower:Double(最低收益)[>=0]; volatilitySurface:String(波动率曲面)[非空]; currencyCode:String(计价币种)[ISO币种]; knockOutFlag:Boolean(是否敲出); downBarrier/upperBarrier:Double(障碍价)[>=0]; touchBeforeFlag:Boolean(是否提前触碰); vvFlag:Boolean(是否启用波动率微笑)","",日期字段; 枚举字段; 障碍字段,供 FX_BARRIER/EQ_BARRIER/COMM_BARRIER/IR_BARRIER 复用
base,BASE::DigOptBase,,"instrumentId:String(交易编号)[非空]; productCode:String(产品类型)[非空]; tradeDate:LocalDate(交易日)[yyyyMMdd]; buyOrSell:String(B/S); callOrPut:String(看涨看跌)[Call/Put]; contractSize:Double(合约乘数)[默认1,>0]; strikePrice:Double(执行价)[>=0]; maturityDate/settleDate:LocalDate[yyyyMMdd]; basePayoff/payoffLower:Double[>=0]; volatilitySurface:String(波动率曲面)[非空]; currencyCode:String(计价币种); vvFlag:Boolean","",日期字段; 枚举字段,供 FX_DIGITAL/EQ_DIGITAL/COMM_DIGITAL/IR_DIGITAL 复用
base,BASE::AutoCallBase,,"instrumentId/productCode:String[非空]; buyOrSell:String[B/S]; currencyCode:String(计价币种); notional:Double(名义本金)[>0]; barrier:Double(障碍)[>=0]; barrierDirection:String(障碍方向)[枚举]; startDate/settleDate:LocalDate[yyyyMMdd]; obsDate:String(观察日集合)[多值]; payoffRate/premiumRate:Double[>=0]; discountCurve/volatilitySurface:String[非空]; pathNb:Integer[>0]; pathFlag:String(路径模式); fixingId:String(定盘编号); settleCalendar/settleRule/settleDayoff","",多值字段; 蒙特卡洛参数,供 FX/EQ/COMM/IR_AUTO_CALL 复用
base,BASE::RangeAccureOptBase,,"instrumentId/productCode:String[非空]; buyOrSell:String[B/S]; startDate/maturityDate:LocalDate[yyyyMMdd]; obsDate:String(观察日集合)[多值]; notional:Double[>0]; currencyCode:String; upperBarrier/lowerBarrier:Double[>=0]; rangeAccureRate:Double[>=0]; rangeDirection:String[枚举]; discountCurve/fixingId/volatilitySurface/priceCurve:String; eps:Double[>0]; absFlag:Boolean; settleDate:LocalDate[yyyyMMdd]; settleCurrencyCode:String","",多值字段; FRTB 扩展字段,供 FX/EQ/COMM/IR_RANGE_ACCURE 复用
base,BASE::SharkFinBase,,"instrumentId/productCode:String[非空]; tradeDate/startDate/maturityDate/settleDate:LocalDate[yyyyMMdd]; optionType:String[枚举]; touchRate/baseRate:Double[>=0]; notional:Double[>0]; settleType:String(Cash/Physical); volatilitySurface:String[非空]; settleCurrencyCode:String; downBarrier/upperBarrier/strikePrice:Double[>=0]; fixingId:String; vvFlag:Boolean","",结算方式字段; 障碍字段,供 FX/EQ/COMM/IR_SHARKFIN 复用
base,BASE::SpreadOptBase,,"instrumentId/productCode:String[非空]; tradeDate/startDate/maturityDate/settleDate:LocalDate[yyyyMMdd]; optionType:String; callOrPut:String[Call/Put]; buyOrSell:String[B/S]; contractSize:Double[默认1,>0]; settleType:String; volatilitySurface:String[非空]; downBarrier/upperBarrier:Double[>=0]; notional:Double[>0]; initialPrice:Double[>=0]; currencyCode:String; currencyPair:String(货币对)[历史字段风险]; underlyingCurrencyCode/baseCurrencyCode:String; strikePrice:Double[>=0]; fixingId:String; vvFlag:Boolean","",历史兼容字段; 多币种字段,供 FX/EQ/COMM/IR_SPREADOPT 复用
base,BASE::StepUpOptBase,,"instrumentId/productCode:String[非空]; tradeDate/startDate/maturityDate/settleDate/fixingDate:LocalDate[yyyyMMdd]; callOrPut:String; buyOrSell:String[B/S]; notional:Double[>0]; currencyCode:String; underlyingId/underlyingType:String[枚举]; upperBarrier/lowerBarrier:Double[>=0]; lowRate/midRate/highRate:Double[>=0]; dayCountBasis:String(ACT/365等); discountCurve/volatilitySurface/fixingId:String; eps:Double[>0]; absFlag:Boolean; vvFlag:Boolean","",分档收益字段; 标的类型字段,供 FX/EQ/COMM/IR_STEP_UP 复用
base,BASE::WeddingCakeBase,,"instrumentId/productCode:String[非空]; tradeDate/startDate/maturityDate/settleDate:LocalDate[yyyyMMdd]; buyOrSell:String[B/S]; contractSize/notional:Double[>0]; currencyCode/settleCurrencyCode:String; volatilitySurface/discountCurve/fixingId:String; outerLowerBarrier/outerUpperBarrier/innerLowerBarrier/innerUpperBarrier:Double[>=0]; outRate/midRate/innerRate:Double[>=0]; eps:Double[>0]; absFlag:Boolean; vvFlag:Boolean","",多层障碍字段,供 FX/EQ/COMM/IR_WEDDING_CAKE 复用
credit,CDS,,,"instrumentId/productCode:String[非空]; buyOrSell:String[B/S]; currencyCode:String; notional:Double(保费/赔付基数)[>0]; startDate/maturityDate:LocalDate[yyyyMMdd]; fixedRate:Double(保费费率)[>=0]; recoveryRate:Double[0~1]; payFreq:String(支付频率); dayCountBasis:String; interestStub:String(断头规则)[多字符规则值]; settleCalendar/settleRule/settleDayoff; discountCurve/creditSpreadCurve:String; issuer:String; frtbCsrBucket:String(监管桶)","notional 语义易与本金混淆; CDS 保费腿无本金现金流",独立信用产品
ir,BOND,,,"productCode/instrumentId:String[非空]; dataDate/issueDate/maturityDate/callPutDate:LocalDate[yyyyMMdd]; bondId/issuer/currencyCode:String; interestStub/interestType/fixingCurve/fixingId/fixingFreq/dayCountBasis/settleCalendar/settleRule/resetRule/discountCurve/creditSpreadCurve/resetFreq:String; interestRate/spread/notional/positionTrade/lastResetRate:Double; settleDayoff/resetDayoff:Integer; absFlag/includeTodayCashflow/couponProrated/optionBondFlag:Boolean; issuerRating/frtbCsrBucket/frtbSecnctpDrcType/frtbNsecDrcBucket:String; frtbSecnctpDrcRw/lgd:Double; jtd0:String; amortizationSchedule:String(摊销计划)","子JSON字符串; DRC/FRTB 监管字段; 含权债专用字段",债券内部固定 paymentTiming=arrear 与 NOTIONAL_FLAG=END
ir,BOND_FUTURE,,,"instrumentId/productCode:String[非空]; currencyCode/issuer/frtbCsrBucket/creditSpreadCurve:String; underlyingPosition:String(CTD方向); discountCurve:String; futurePrice:Double[>=0]; maturityDate:LocalDate[yyyyMMdd]; convertFactors:String(转换因子集合); absFlag:Boolean","多值字段 convertFactors; 依赖标的债券数据",标的债输入在 UNDERLYING_DATA 中
ir,CAPFLOOR,,,"instrumentId/productCode:String[非空]; capOrFloor:String[Cap/Floor]; buyOrSell:String[B/S]; currencyCode:String; notional:Double[>0]; startDate/maturityDate/dataDate:LocalDate[yyyyMMdd]; strikeRate:Double[>=0]; dayCountBasis/payFreq/fixingFreq/fixingCalendar/fixingRule/discountCurve/fixingCurve/resetFreq/fixingId/volatilitySurface/valuationModel:String; settleCalendar/settleRule:String; settleDayoff/fixingDayoff:Integer","日期字段; 模型字段; fixingCalendar 已接入",当前已记录缺少 payment 规则与浮动利率节假日调整优化项
ir,IRSCCS,,,"productCode/instrumentId/swapType:String; startDate/maturityDate/dataDate:LocalDate; notionalExchangeType:String[NONE/START/END/START_END]; payNotional/recNotional/payInterest/recInterest/paySpread/recSpread/payLastFixingRate/recLastFixingRate:Double; payCurrencyCode/payInterestType/payFixingCurve/payFixingId/payFixingCalendar/payFreq/payDayCountBasis/paySettleCalendar/paySettleRule/payFixingRule/payDiscountCurve/payResetFreq/payFixingFreq:String; paySettleDayoff/payFixingDayoff:Integer; 对应 receive 腿同构字段 rec*","双腿镜像字段; 本金交换规则为多字符规则值",pay/receive 日算规则分别保留并映射到 SCF.dayCountBasis
ir,STD_IRS,,,"instrumentId/productCode:String[非空]; currencyCode:String; buyOrSell:String[B/S]; tradePrice/notional:Double; maturityDate:LocalDate[yyyyMMdd]; termCode/fixingCurve/dayCountBasis/settleCalendar:String","字段较少; 结构简单",标准利率掉期简化输入
ir,SWAPTION,,,"productCode/instrumentId:String[非空]; callOrPut:String[Call/Put]; buyOrSell:String[B/S]; maturityDate/underlyingStartDate/underlyingMaturityDate:LocalDate[yyyyMMdd]; notional/fixedRate:Double; currencyCode:String; underlyingFreq/underlyingSettleCalendar/underlyingSettleRule/fixedDayCountBasis/fixingCalendar/fixingRule/discountCurve/volatilitySurface/valuationModel/fixingFreq/fixingCurve/resetFreq:String; underlyingSettleDayoff/fixingDayoff:Integer","标的 IRS 现金流字段; fixingCalendar 已接入; nationalFlag 内部固定为 none",独立利率期权产品
comm,COMM_AUTO_CALL,AutoCallBase,见 BASE::AutoCallBase,"priceCurve:String; frtbCommBucket/frtbCommAsset/frtbCommLocation:String(监管分类); underlyingCode/underlyingId:String","FRTB 监管字段",共享字段见类基
comm,COMM_BARRIER,BarOptBase,见 BASE::BarOptBase,"underlyingCode/underlyingId:String; discountCurve/priceCurve:String; frtbCommBucket/frtbCommAsset/frtbCommLocation:String","FRTB 监管字段",共享字段见类基
comm,COMM_DIGITAL,DigOptBase,见 BASE::DigOptBase,"underlyingCode/underlyingId:String; discountCurve/priceCurve:String; frtbCommBucket/frtbCommAsset/frtbCommLocation:String","FRTB 监管字段",共享字段见类基
comm,COMMFWD,,,"productCode/instrumentId:String[非空]; buyOrSell:String[B/S]; underlyingCode/currencyCode/strikeCurrencyCode:String; contractSize/strikePrice:Double; settleDate:LocalDate[yyyyMMdd]; priceCurve/discountCurve:String; frtbCommAsset/frtbCommLocation/frtbCommBucket:String","监管字段; 双币种结算字段",商品远期独立输入
comm,COMM_RANGE_ACCURE,RangeAccureOptBase,见 BASE::RangeAccureOptBase,"underlyingCode/underlyingId:String; frtbCommBucket/frtbCommAsset/frtbCommLocation:String","FRTB 监管字段",共享字段见类基
comm,COMM_SHARKFIN,SharkFinBase,见 BASE::SharkFinBase,"underlyingCode/underlyingId:String; discountCurve/priceCurve:String; frtbCommBucket/frtbCommAsset/frtbCommLocation:String","FRTB 监管字段",共享字段见类基
comm,COMM_SPREADOPT,SpreadOptBase,见 BASE::SpreadOptBase,"priceCurve/discountCurve/currencyCode:String; frtbCommBucket/frtbCommAsset/frtbCommLocation:String; underlyingCode/underlyingId:String","FRTB 监管字段",共享字段见类基
comm,COMM_STEP_UP,StepUpOptBase,见 BASE::StepUpOptBase,"underlyingCode:String; frtbCommAsset/frtbCommLocation/frtbCommBucket:String; priceCurve:String; termDays:Integer; settleCurrencyCode:String","期限天数字段; FRTB 监管字段",共享字段见类基
comm,COMMSWAP,,,"productCode/instrumentId:String[非空]; buyOrSell:String[B/S]; underlyingCode/currencyCode/strikeCurrencyCode:String; contractSize/spotStrike/fwdStrike:Double; spotSettleDate/fwdSettleDate:LocalDate[yyyyMMdd]; priceCurve/discountCurve:String; frtbCommAsset/frtbCommLocation/frtbCommBucket:String","双结算日字段; FRTB 监管字段",商品掉期独立输入
comm,COMMOPT,,,"productCode/instrumentId:String[非空]; optionType/callOrPut/buyOrSell/settleType:String; underlyingCode/strikeCurrencyCode/settleCurrencyCode/currencyCode:String; contractSize/strikePrice:Double; maturityDate/settleDate:LocalDate[yyyyMMdd]; discountCurve/priceCurve/volatilitySurface:String; frtbCommAsset/frtbCommLocation/frtbCommBucket:String","结算方式字段; FRTB 监管字段",商品香草期权独立输入
comm,COMM_WEDDING_CAKE,WeddingCakeBase,见 BASE::WeddingCakeBase,"priceCurve:String; frtbCommBucket/frtbCommAsset/frtbCommLocation:String; underlyingCode/underlyingId:String","FRTB 监管字段",共享字段见类基
eq,EQ_AUTO_CALL,AutoCallBase,见 BASE::AutoCallBase,"priceCurve:String","结构简单",共享字段见类基
eq,EQ_BARRIER,BarOptBase,见 BASE::BarOptBase,"currencyCode/discountCurve/priceCurve:String","",共享字段见类基
eq,EQ_DIGITAL,DigOptBase,见 BASE::DigOptBase,"currencyCode/discountCurve/priceCurve:String","",共享字段见类基
eq,EQ_RANGE_ACCURE,RangeAccureOptBase,见 BASE::RangeAccureOptBase,"","",共享字段见类基
eq,EQ_SHARKFIN,SharkFinBase,见 BASE::SharkFinBase,"underlyingCode/discountCurve/priceCurve:String","",共享字段见类基
eq,EQ_SPREADOPT,SpreadOptBase,见 BASE::SpreadOptBase,"priceCurve/currencyCode/discountCurve:String","",共享字段见类基
eq,EQ_STEP_UP,StepUpOptBase,见 BASE::StepUpOptBase,"priceCurve:String; settleCurrencyCode:String","",共享字段见类基
eq,EQ_WEDDING_CAKE,WeddingCakeBase,见 BASE::WeddingCakeBase,"priceCurve:String","",共享字段见类基
fx,FX_AUTO_CALL,AutoCallBase,见 BASE::AutoCallBase,"baseCurrencyCode/underlyingCurrencyCode/baseDiscountCurve/underlyingDiscountCurve:String","多币种字段",共享字段见类基
fx,FX_BARRIER,BarOptBase,见 BASE::BarOptBase,"underlyingCurrencyCode/baseCurrencyCode/settleCurrencyCode/baseDiscountCurve/underlyingDiscountCurve/discountCurve:String","多币种字段",共享字段见类基
fx,FX_DIGITAL,DigOptBase,见 BASE::DigOptBase,"underlyingCurrencyCode/baseCurrencyCode/settleCurrencyCode/baseDiscountCurve/underlyingDiscountCurve/discountCurve:String","多币种字段",共享字段见类基
fx,FXFWD,,,"productCode/instrumentId:String[非空]; buyOrSell:String[B/S]; underlyingCurrencyCode/baseCurrencyCode:String; underlyingCurrencyNotional/baseCurrencyNotional:Double[>0]; settleDate:LocalDate[yyyyMMdd]; underlyingDiscountCurve/baseDiscountCurve:String","双币种名义金额",外汇远期独立输入
fx,FXMC_SHARKFIN,,,"instrumentId/productCode:String[非空]; buyOrSell/optionType:String; startDate/switchDate/maturityDate/settleDate:LocalDate[yyyyMMdd]; notional/strikePrice/upperBarrier/downBarrier/upTouchPay/downTouchPay:Double; volatilitySurface:String; underlyingCurrencyCode/baseCurrencyCode/underlyingDiscountCurve/baseDiscountCurve/discountCurve/settleCurrencyCode:String; pathNb:Integer[>0]; pathFlag:String; obsDate:String(观察日集合)","蒙特卡洛参数; 多值字段; 多币种字段",测试/特殊结构产品
fx,FX_RANGE_ACCURE,RangeAccureOptBase,见 BASE::RangeAccureOptBase,"underlyingId/underlyingCurrencyCode/baseCurrencyCode/underlyingDiscountCurve/baseDiscountCurve:String","多币种字段",共享字段见类基
fx,FX_SHARKFIN,SharkFinBase,见 BASE::SharkFinBase,"underlyingCode/underlyingCurrencyCode/baseCurrencyCode/baseDiscountCurve/underlyingDiscountCurve/discountCurve:String","多币种字段",共享字段见类基
fx,FX_SPREADOPT,SpreadOptBase,见 BASE::SpreadOptBase,"baseDiscountCurve/underlyingDiscountCurve:String","多币种字段",共享字段见类基
fx,FX_STEP_UP,StepUpOptBase,见 BASE::StepUpOptBase,"underlyingCurrencyCode/baseCurrencyCode/underlyingDiscountCurve/baseDiscountCurve:String","多币种字段",共享字段见类基
fx,FXSWAP,,,"productCode/instrumentId:String[非空]; buyOrSell:String[B/S]; underlyingCurrencyCode/baseCurrencyCode:String; underlyingCurrencyNotionalSpot/underlyingCurrencyNotionalFwd/baseCurrencyNotionalSpot/baseCurrencyNotionalFwd:Double[>0]; spotSettleDate/fwdSettleDate:LocalDate[yyyyMMdd]; underlyingDiscountCurve/baseDiscountCurve:String","近端/远端双名义金额; 双结算日",外汇掉期独立输入
fx,FXOPT,,,"instrumentId/productCode:String[非空]; optionType/callOrPut/buyOrSell/settleType:String; underlyingCurrencyCode/baseCurrencyCode/currencyCode:String; contractSize/strikePrice:Double[>=0]; maturityDate/settleDate:LocalDate[yyyyMMdd]; baseDiscountCurve/underlyingDiscountCurve/volatilitySurface:String","多币种字段; 结算方式字段",外汇香草期权独立输入
fx,FX_WEDDING_CAKE,WeddingCakeBase,见 BASE::WeddingCakeBase,"underlyingCode/underlyingCurrencyCode/baseCurrencyCode/underlyingDiscountCurve/baseDiscountCurve:String","多币种字段",共享字段见类基
ir,IR_AUTO_CALL,AutoCallBase,见 BASE::AutoCallBase,"priceCurve:String; rateType/termCode/underlyingTerm/termFreq:String","利率期限字段",共享字段见类基
ir,IR_BARRIER,BarOptBase,见 BASE::BarOptBase,"currencyCode/discountCurve/fixingId/priceCurve/rateType/termCode/termFreq:String","利率期限字段",共享字段见类基
ir,IR_DIGITAL,DigOptBase,见 BASE::DigOptBase,"currencyCode/discountCurve/fixingId/priceCurve/rateType/termCode/termFreq:String","利率期限字段",共享字段见类基
ir,IR_RANGE_ACCURE,RangeAccureOptBase,见 BASE::RangeAccureOptBase,"rateType/termCode/termFreq:String","利率期限字段",共享字段见类基
ir,IR_SHARKFIN,SharkFinBase,见 BASE::SharkFinBase,"underlyingCode/discountCurve/priceCurve/rateType/termCode/termFreq:String","利率期限字段",共享字段见类基
ir,IR_SPREADOPT,SpreadOptBase,见 BASE::SpreadOptBase,"discountCurve/priceCurve/currencyCode/rateType/termCode/termFreq:String","利率期限字段",共享字段见类基
ir,IR_STEP_UP,StepUpOptBase,见 BASE::StepUpOptBase,"priceCurve:String; termDays:Integer; settleCurrencyCode:String","期限天数字段",共享字段见类基
ir,IR_WEDDING_CAKE,WeddingCakeBase,见 BASE::WeddingCakeBase,"priceCurve/rateType/termCode/termFreq:String","利率期限字段",共享字段见类基
