产品类型,资产大类,字段,Java字段名,字段类型,字段含义,值域,特殊规则
AUTO_CALL,综合,BARRIER,barrier,浮点数,AutoCall障碍价,,PAYOFF_TYPE=AUTO_CALL时运行时校验
AUTO_CALL,综合,BARRIER_DIRECTION,barrierDirection,字符串,AutoCall障碍方向,UP|DOWN,PAYOFF_TYPE=AUTO_CALL时运行时校验
AUTO_CALL,综合,BASE_CURRENCY_CODE,baseCurrencyCode,字符串,FX基础货币,,UNDERLYING_TYPE=FX时运行时校验
AUTO_CALL,综合,BASE_DISCOUNT_CURVE,baseDiscountCurve,字符串,FX基础货币折现曲线,,UNDERLYING_TYPE=FX时运行时校验
AUTO_CALL,综合,BUY_OR_SELL,buyOrSell,字符串,买卖方向,B|S,运行时校验
AUTO_CALL,综合,CURRENCY_CODE,currencyCode,字符串,估值币种,,运行时校验
AUTO_CALL,综合,DISCOUNT_CURVE,discountCurve,字符串,估值折现曲线,,运行时校验
AUTO_CALL,综合,FRTB_COMM_ASSET,frtbCommAsset,字符串,FRTB商品资产名称,,UNDERLYING_TYPE=COMM时用于FRTB
AUTO_CALL,综合,FRTB_COMM_BUCKET,frtbCommBucket,字符串,FRTB商品Bucket,,UNDERLYING_TYPE=COMM时用于FRTB
AUTO_CALL,综合,FRTB_COMM_LOCATION,frtbCommLocation,字符串,FRTB商品地区,,UNDERLYING_TYPE=COMM时用于FRTB
AUTO_CALL,综合,FRTB_EQ_BUCKET,frtbEqBucket,字符串,FRTB权益Bucket,,UNDERLYING_TYPE=EQ时用于FRTB
AUTO_CALL,综合,INSTRUMENT_ID,instrumentId,字符串,交易编号,,运行时校验
AUTO_CALL,综合,MATURITY_DATE,maturityDate,日期,到期日,,部分payoff使用
AUTO_CALL,综合,MODEL_PARAMS,modelParams,JSON,路径模型扩展参数,,LOCAL_VOL/HESTON等模型使用
AUTO_CALL,综合,MODEL_TYPE,modelType,字符串,路径模型类型,CONST_VOL|LOCAL_VOL|HESTON,默认值=CONST_VOL
AUTO_CALL,综合,NOTIONAL,notional,浮点数,名义金额,,PAYOFF_TYPE=AUTO_CALL时运行时校验
AUTO_CALL,综合,OBS_DATES,obsDates,字符串,观察日序列,,逗号分隔yyyyMMdd；运行时校验
AUTO_CALL,综合,PATH_FLAG,pathFlag,布尔,路径输出开关,true|false,默认值=false
AUTO_CALL,综合,PATH_NB,pathNb,整数,模拟路径数,,默认值=10000
AUTO_CALL,综合,PAYOFF_PARAMS,payoffParams,JSON,Payoff扩展参数,,未传时AUTO_CALL使用平铺字段
AUTO_CALL,综合,PAYOFF_RATE,payoffRate,浮点数,AutoCall敲出收益率,,PAYOFF_TYPE=AUTO_CALL时运行时校验
AUTO_CALL,综合,PAYOFF_TYPE,payoffType,字符串,Payoff类型,AUTO_CALL,运行时校验
AUTO_CALL,综合,PREMIUM_RATE,premiumRate,浮点数,AutoCall溢价率,,PAYOFF_TYPE=AUTO_CALL时运行时校验
AUTO_CALL,综合,PRODUCT_CODE,productCode,字符串,产品代码,AUTO_CALL,固定值=AUTO_CALL
AUTO_CALL,综合,REFERENCE_CURVE,referenceCurve,字符串,标的价格曲线,,UNDERLYING_TYPE=EQ/COMM时运行时校验
AUTO_CALL,综合,SETTLE_DATE,settleDate,日期,结算日,,运行时校验
AUTO_CALL,综合,START_DATE,startDate,日期,起息日,,运行时校验
AUTO_CALL,综合,UNDERLYING_CODE,underlyingCode,字符串,标的代码,,用于结果明细或FRTB
AUTO_CALL,综合,UNDERLYING_CURRENCY_CODE,underlyingCurrencyCode,字符串,FX标的货币,,UNDERLYING_TYPE=FX时运行时校验
AUTO_CALL,综合,UNDERLYING_DISCOUNT_CURVE,underlyingDiscountCurve,字符串,FX标的货币折现曲线,,UNDERLYING_TYPE=FX时运行时校验
AUTO_CALL,综合,UNDERLYING_TYPE,underlyingType,字符串,标的类型,FX|EQ|COMM|IR,运行时校验；严格按字段识别
AUTO_CALL,综合,VOLATILITY_SURFACE,volatilitySurface,字符串,波动率曲面,,运行时校验
BOND,利率,ABS_FLAG,absFlag,布尔,,,数据域=TRADE；默认值=false
BOND,利率,AMORTIZATION_SCHEDULE,amortizationSchedule,List<StructuredCashflow.AmortizationEntry>,摊销计划,,"JSON数组[{date,principal,rate}]"
BOND,利率,BOND_ID,bondId,字符串,,,
BOND,利率,CALLPUT_DATES,callPutDates,字符串,,,
BOND,利率,COUPON_PRORATED,couponProrated,布尔,,,数据域=TRADE；默认值=true
BOND,利率,CREDIT_SPREAD_CURVE,creditSpreadCurve,字符串,信用点差曲线,,
BOND,利率,CURRENCY_CODE,currencyCode,字符串,货币代码,,数据域=TRADE；必填(校验规则)
BOND,利率,DATA_DATE,dataDate,日期,,,
BOND,利率,DAY_COUNT_BASIS,dayCountBasis,字符串,日计数基准,"actual/365,actual/360,30/360",数据域=TRADE；必填(校验规则)；默认值=Actual/365
BOND,利率,DIRTY_PRICE,dirtyPrice,浮点数,脏价,,
BOND,利率,DISCOUNT_CURVE,discountCurve,字符串,折现曲线,,引用市场数据折现曲线key
BOND,利率,DRC_FLAG,drcFlag,字符串,,,
BOND,利率,DRC_LGD,lgd,浮点数,,,数据域=TRADE；默认值=0.75
BOND,利率,FIXING_FREQ,fixingFreq,字符串,定盘频率,,
BOND,利率,FIXING_ID,fixingId,字符串,定盘ID,,
BOND,利率,FRTB_CSR_BUCKET,frtbCsrBucket,字符串,,,
BOND,利率,FRTB_NSEC_DRC_BUCKET,frtbNsecDrcBucket,字符串,,,
BOND,利率,FRTB_SECNCTP_DRC_RW,frtbSecnctpDrcRw,浮点数,,,
BOND,利率,FRTB_SECNCTP_DRC_TYPE,frtbSecnctpDrcType,字符串,,,
BOND,利率,INCLUDE_TODAY_CASHFLOW,includeTodayCashflow,布尔,,,数据域=TRADE；默认值=true
BOND,利率,INSTRUMENT_ID,instrumentId,字符串,交易编号,,数据域=TRADE；通用校验字段(存在时校验)
BOND,利率,INTEREST_RATE,interestRate,浮点数,利率,,数据域=TRADE；必填(校验规则)；默认值=0
BOND,利率,INTEREST_STUB,interestStub,字符串,,,数据域=TRADE；默认值=LongStart
BOND,利率,INTEREST_TYPE,interestType,字符串,利率类型,Fixed|Floating,数据域=TRADE；必填(校验规则)；默认值=Fixed
BOND,利率,ISSUER,issuer,字符串,,,
BOND,利率,ISSUER_RATING,issuerRating,字符串,,,数据域=TRADE；默认值=Unrated
BOND,利率,ISSUE_DATE,issueDate,日期,发行日,,yyyyMMdd；数据域=TRADE；必填(校验规则)
BOND,利率,LAST_RESET_RATE,lastResetRate,浮点数,,,数据域=TRADE；默认值=0
BOND,利率,MATURITY_DATE,maturityDate,日期,到期日,,yyyyMMdd；数据域=TRADE；必填(校验规则)
BOND,利率,NOTIONAL,notional,浮点数,名义金额,,非负有限数；数据域=TRADE；必填(校验规则)；默认值=100
BOND,利率,OPTION_BOND_FLAG,optionBondFlag,布尔,,,
BOND,利率,PAY_FREQ,payFreq,字符串,付息频率,M/Q/S/A,数据域=TRADE；必填(校验规则)
BOND,利率,POSITION_TRADE,positionTrade,浮点数,头寸方向,,数据域=TRADE；必填(校验规则)；默认值=1
BOND,利率,PRODUCT_CODE,productCode,字符串,产品代码,,数据域=TRADE；通用校验字段(存在时校验)
BOND,利率,REFERENCE_CURVE,referenceCurve,字符串,定盘曲线,,引用市场数据定盘曲线key
BOND,利率,RESET_DAYOFF,resetDayoff,浮点数,,,数据域=TRADE；默认值=0
BOND,利率,RESET_FREQ,resetFreq,字符串,重置频率,M/Q/S/A,
BOND,利率,RESET_RULE,resetRule,字符串,,,数据域=TRADE；默认值=Regular_Preceding
BOND,利率,SETTLE_CALENDAR,settleCalendar,字符串,结算日历,,
BOND,利率,SETTLE_DAYOFF,settleDayoff,浮点数,,,数据域=TRADE；默认值=0
BOND,利率,SETTLE_RULE,settleRule,字符串,,,数据域=TRADE；默认值=Regular_Following
BOND,利率,SPREAD,spread,浮点数,点差,,数据域=TRADE；默认值=0
BOND_FUTURE,利率,ABS_FLAG,absFlag,布尔,,,数据域=UNDERLYING_DATA；默认值=false
BOND_FUTURE,利率,CONVERT_FACTORS,convertFactors,JSONArray,,,
BOND_FUTURE,利率,CURRENCY_CODE,currencyCode,字符串,货币代码,,
BOND_FUTURE,利率,DISCOUNT_CURVE,discountCurve,字符串,折现曲线,,引用市场数据折现曲线key
BOND_FUTURE,利率,FRTB_CSR_BUCKET,frtbCsrBucket,字符串,,,
BOND_FUTURE,利率,FUTURE_PRICE,futurePrice,浮点数,,,
BOND_FUTURE,利率,INSTRUMENT_ID,instrumentId,字符串,交易编号,,数据域=TRADE；通用校验字段(存在时校验)
BOND_FUTURE,利率,ISSUER,issuer,字符串,,,
BOND_FUTURE,利率,MATURITY_DATE,maturityDate,日期,到期日,,yyyyMMdd；数据域=TRADE/UNDERLYING_DATA；必填(校验规则)
BOND_FUTURE,利率,PRODUCT_CODE,productCode,字符串,产品代码,,数据域=TRADE；通用校验字段(存在时校验)
BOND_FUTURE,利率,UNDERLYING_POSITION,underlyingPosition,浮点数,,,数据域=TRADE；必填(校验规则)；默认值=1
CAPFLOOR,利率,BUY_OR_SELL,buyOrSell,字符串,买卖方向,B/S,
CAPFLOOR,利率,CAP_OR_FLOOR,capOrFloor,字符串,,,
CAPFLOOR,利率,CURRENCY_CODE,currencyCode,字符串,货币代码,,
CAPFLOOR,利率,DATA_DATE,dataDate,日期,,,
CAPFLOOR,利率,DAY_COUNT_BASIS,dayCountBasis,字符串,日计数基准,"actual/365,actual/360,30/360",数据域=TRADE；默认值=Actual/365
CAPFLOOR,利率,DISCOUNT_CURVE,discountCurve,字符串,折现曲线,,引用市场数据折现曲线key
CAPFLOOR,利率,FIXING_CALENDAR,fixingCalendar,字符串,,,
CAPFLOOR,利率,FIXING_DAYOFF,fixingDayoff,浮点数,,,数据域=TRADE；默认值=0
CAPFLOOR,利率,FIXING_FREQ,fixingFreq,字符串,定盘频率,,
CAPFLOOR,利率,FIXING_ID,fixingId,字符串,定盘ID,,
CAPFLOOR,利率,FIXING_RULE,fixingRule,字符串,,,数据域=TRADE；默认值=Regular_Preceding
CAPFLOOR,利率,INSTRUMENT_ID,instrumentId,字符串,交易编号,,数据域=TRADE；通用校验字段(存在时校验)
CAPFLOOR,利率,MATURITY_DATE,maturityDate,日期,到期日,,yyyyMMdd
CAPFLOOR,利率,NOTIONAL,notional,浮点数,名义金额,,非负有限数
CAPFLOOR,利率,PAY_FREQ,payFreq,字符串,付息频率,M/Q/S/A,
CAPFLOOR,利率,PRODUCT_CODE,productCode,字符串,产品代码,,数据域=TRADE；通用校验字段(存在时校验)
CAPFLOOR,利率,REFERENCE_CURVE,referenceCurve,字符串,定盘曲线,,引用市场数据定盘曲线key
CAPFLOOR,利率,RESET_FREQ,resetFreq,字符串,重置频率,M/Q/S/A,
CAPFLOOR,利率,SETTLE_CALENDAR,settleCalendar,字符串,结算日历,,
CAPFLOOR,利率,SETTLE_DAYOFF,settleDayoff,浮点数,,,数据域=TRADE；默认值=0
CAPFLOOR,利率,SETTLE_RULE,settleRule,字符串,,,数据域=TRADE；默认值=Regular_Following
CAPFLOOR,利率,START_DATE,startDate,日期,起息日,,yyyyMMdd
CAPFLOOR,利率,STRIKE_RATE,strikeRate,浮点数,,,
CAPFLOOR,利率,VALUATION_MODEL,valuationModel,字符串,估值模型,BACHELIER/BLACK76,
CAPFLOOR,利率,VOLATILITY_SURFACE,volatilitySurface,字符串,波动率曲面,,引用市场数据波动率曲面key
CDS,信用,BUY_OR_SELL,buyOrSell,字符串,买卖方向,B/S,
CDS,信用,CURRENCY_CODE,currencyCode,字符串,货币代码,,数据域=TRADE/UNDERLYING_DATA；必填(校验规则)
CDS,信用,DAY_COUNT_BASIS,dayCountBasis,字符串,日计数基准,"actual/365,actual/360,30/360",数据域=TRADE/UNDERLYING_DATA；默认值=Actual/365
CDS,信用,DISCOUNT_CURVE,discountCurve,字符串,折现曲线,,引用市场数据折现曲线key；数据域=TRADE；必填(校验规则)
CDS,信用,FIXED_PREMIUM,fixedPremium,字符串,,,
