time_index,origin_node_index,dest_node_index,non_zero_prob_count,transition_probability
47,0,0,3,0.966704612002272
47,0,1,3,0.026435886021182
47,0,2,3,0.006859501976484
47,1,0,4,0.016006753010954
47,1,1,4,0.90412653386203
47,1,2,4,0.075381059885419
47,1,3,4,0.004485653241785
47,2,1,4,0.059161392111948
47,2,2,4,0.805109698404753
47,2,3,4,0.129667965917587
47,2,4,4,0.006060943565763
47,3,2,4,0.111005831666095
47,3,3,4,0.695983054276347
47,3,4,4,0.185366769908633
47,3,5,4,0.007644344148939
47,4,3,4,0.167333262603844
47,4,4,4,0.583043454167921
47,4,5,4,0.240709074743805
47,4,6,4,0.008914208484357
47,5,4,4,0.224021557206683
47,5,5,4,0.472876559831867
47,5,6,4,0.293434801174548
47,5,7,4,0.009667081786876
47,6,5,4,0.278133584606216
47,6,6,4,0.370297801446895
47,6,7,4,0.34177593715102
47,6,8,4,0.00979267679579
47,7,6,4,0.327440280897804
47,7,7,4,0.279057003566152
47,7,8,4,0.384241987561872
47,7,9,4,0.009260727974083
47,8,7,4,0.37018960474574
47,8,8,4,0.202176595563273
47,8,9,4,0.419524608356653
47,8,10,4,0.008109191334348
47,9,8,4,0.404982165019668
47,9,9,4,0.142127118845508
47,9,10,4,0.446458808596702
47,9,11,4,0.006431907538181
47,10,9,4,0.430702498167243
47,10,10,4,0.100914584168521
47,10,11,4,0.464017330030416
47,10,12,4,0.004365587633793
47,11,10,4,0.446483441871607
47,11,11,4,0.080113047736035
47,11,12,4,0.471326952881853
47,11,13,4,0.002076557510587
47,12,11,3,0.45142814994734
47,12,12,3,0.081642820785135
47,12,13,3,0.466929029267433
47,13,11,4,0.000251274217652
47,13,12,4,0.442533489648127
47,13,13,4,0.112323394940276
47,13,14,4,0.444891841193936
47,14,12,4,0.00253397203956
47,14,13,4,0.421660448781026
47,14,14,4,0.15134595673841
47,14,15,4,0.424459622440999
46,0,0,3,0.95210786920543
46,0,1,3,0.036968136268414
46,0,2,3,0.010923994526257
46,1,0,4,0.023024135019901
46,1,1,4,0.86293952725652
46,1,2,4,0.105337320949759
46,1,3,4,0.008699016773642
46,2,1,4,0.084858970799692
46,2,2,4,0.722345489553526
46,2,3,4,0.18035372345442
46,2,4,4,0.012441816192366
46,3,2,4,0.159000725260283
46,3,3,4,0.56768423711992
46,3,4,4,0.257145909963345
46,3,5,4,0.016169127656558
46,4,3,4,0.239561721350565
46,4,4,4,0.407433694104697
46,4,5,4,0.333788716596843
46,4,6,4,0.019215867947989
46,5,4,4,0.320764630729375
46,5,5,4,0.250603558047551
46,5,6,4,0.407476748377608
46,5,7,4,0.021155062845566
46,6,5,4,0.398495638796852
46,6,6,4,0.103809658566576
46,6,7,4,0.475941199000985
46,6,8,4,0.021753503635585
46,7,6,4,0.460651239896139
46,7,7,4,0.000696911261146
46,7,8,4,0.507328261730642
46,7,9,4,0.031323587111991
46,8,6,4,0.008243655374475
46,8,7,4,0.469509104702542
46,8,9,4,0.463618969001784
46,8,10,4,0.058628270921142
46,9,7,4,0.033397496812483
46,9,8,4,0.439091554718587
46,9,10,4,0.470284124891563
46,9,11,4,0.057226823577331
46,10,8,4,0.036661196115983
46,10,9,4,0.44993139763632
46,10,11,4,0.442755549427847
46,10,12,4,0.070651856819747
46,11,9,4,0.054393686161912
46,11,10,4,0.426680967782221
46,11,12,4,0.460246287879229
46,11,13,4,0.058679058176519
46,12,10,4,0.049665085075802
46,12,11,4,0.44395392302058
46,12,13,4,0.447079617299506
46,12,14,4,0.059301374604084
46,13,11,4,0.057138320227175
46,13,12,4,0.432180785348794
46,13,14,4,0.471132256398299
46,13,15,4,0.039548638025753
46,14,12,4,0.042397566641306
46,14,13,4,0.457834904887015
46,14,15,4,0.45936253611489
46,14,16,4,0.040404992356834
45,0,0,3,0.951027384015529
45,0,1,3,0.037719611326493
45,0,2,3,0.011253004657845
45,1,0,4,0.023543578120082
45,1,1,4,0.859913238568655
45,1,2,4,0.107472467909009
45,1,3,4,0.009070715402223
45,2,1,4,0.086754807139282
45,2,2,4,0.716290327832919
45,2,3,4,0.183941588069466
45,2,4,4,0.013013276958497
45,3,2,4,0.162535577640151
45,3,3,4,0.558319904605142
45,3,4,4,0.262206636877167
45,3,5,4,0.016937880877573
45,4,3,4,0.244878140883387
45,4,4,4,0.394625914225273
45,4,5,4,0.340347311938945
45,4,6,4,0.02014863295231
45,5,4,4,0.327886691788226
45,5,5,4,0.234385157684827
45,5,6,4,0.415529712988029
45,5,7,4,0.022198437538899
45,6,5,4,0.407363268794938
45,6,6,4,0.084338463165381
45,6,7,4,0.485455266289797
45,6,8,4,0.022843001749952
45,7,6,3,0.464273805100662
45,7,8,3,0.495384439888795
45,7,9,3,0.040341755010573
45,8,6,4,0.01455874935305
45,8,7,4,0.460108849368332
45,8,9,4,0.464277464202813
45,8,10,4,0.061054937075783
45,9,7,4,0.034609046929253
45,9,8,4,0.440853496692705
45,9,10,4,0.458390384115987
45,9,11,4,0.066147072262112
45,10,8,4,0.043765488036165
45,10,9,4,0.439977547151457
45,10,11,4,0.442716692559723
45,10,12,4,0.073540272252583
45,11,9,4,0.056441443367721
45,11,10,4,0.427278086458247
45,11,12,4,0.449353055073622
45,11,13,4,0.066927415100373
45,12,10,4,0.05712889559112
45,12,11,4,0.433865864527917
45,12,13,4,0.446905402364851
45,12,14,4,0.062099837516227
45,13,11,4,0.059697431855893
45,13,12,4,0.431887632161098
45,13,14,4,0.461611871075405
45,13,15,4,0.046803064907692
45,14,12,4,0.049681353942418
45,14,13,4,0.448268600560404
45,14,15,4,0.458988254256827
45,14,16,4,0.043061791240218
44,0,0,3,0.949896150538899
44,0,1,3,0.038504198108233
44,0,2,3,0.011599651352866
44,1,0,4,0.024087418452002
44,1,1,4,0.856746554206564
44,1,2,4,0.10970151493122
44,1,3,4,0.009464512410073
44,2,1,4,0.088739193915243
44,2,2,4,0.709956293615193
44,2,3,4,0.187685243682786
44,2,4,4,0.013619268786754
44,3,2,4,0.166235070968364
44,3,3,4,0.548526038227351
44,3,4,4,0.267485465037531
44,3,5,4,0.017753425766658
44,4,3,4,0.250441927126303
44,4,4,4,0.381231416109379
44,4,5,4,0.347188243814557
44,4,6,4,0.021138412949786
44,5,4,4,0.335340229760359
44,5,5,4,0.217423223731025
44,5,6,4,0.423930755723873
44,5,7,4,0.02330579078467
44,6,5,4,0.416644147294775
44,6,6,4,0.063972517104901
44,6,7,4,0.495383828004549
44,6,8,4,0.02399950759582
44,7,6,3,0.467839578049649
44,7,8,3,0.482101656552985
44,7,9,3,0.050058765397239
